date,total,male,female,age_0,age_10,age_20,age_30,age_40,age_50,age_60,age_70,age_80
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,2,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,3,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,4,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,6,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,11,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,15,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,15,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,16,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,18,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,23,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,24,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,24,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,27,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,27,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,28,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,29,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,30,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,31,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,51,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,104,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,204,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,433,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,602,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,833,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,977,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,1261,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,1766,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,2337,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,3150,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,3736,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,4212,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,4812,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,5328,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,5766,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,6284,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,6767,0,0,0,0,0,1,1,5,11,14,12
2020-03-08,7134,0,0,0,0,0,1,1,5,11,18,14
2020-03-09,7382,0,0,0,0,0,1,1,5,12,18,14
2020-03-10,7513,0,0,0,0,0,1,1,5,13,19,15
2020-03-11,7755,0,0,0,0,0,1,1,6,14,21,17
2020-03-12,7869,0,0,0,0,0,1,1,6,14,24,20
2020-03-13,7979,0,0,0,0,0,1,1,6,14,24,21
2020-03-14,8086,0,0,0,0,0,1,1,6,14,27,23
2020-03-15,8126,0,0,0,0,0,1,1,6,14,28,25
2020-03-16,8236,0,0,0,0,0,1,1,6,14,28,25
2020-03-17,8320,0,0,0,0,0,1,1,6,16,29,28
2020-03-18,8413,0,0,0,0,0,1,1,6,16,29,31
2020-03-19,8565,0,0,0,0,0,1,1,7,17,34,31
2020-03-20,8652,0,0,0,0,0,1,1,7,17,35,33
2020-03-21,8799,0,0,0,0,0,1,1,7,17,37,39
2020-03-22,8897,0,0,0,0,0,1,1,7,17,37,41
2020-03-23,8961,0,0,0,0,0,1,1,7,18,38,46
2020-03-24,9037,0,0,0,0,0,1,1,8,20,38,52
2020-03-25,9137,0,0,0,0,0,1,1,10,20,39,55
2020-03-26,9241,0,0,0,0,0,1,1,10,20,41,58
2020-03-27,9332,0,0,0,0,0,1,1,10,21,41,65
2020-03-28,9478,0,0,0,0,0,1,1,10,21,41,70
2020-03-29,9583,0,0,0,0,0,1,1,10,21,43,76
2020-03-30,9661,0,0,0,0,0,1,1,10,21,45,80
2020-03-31,9786,0,0,0,0,0,1,1,10,22,46,82
2020-04-01,9887,0,0,0,0,0,1,1,10,23,46,84
2020-04-02,9976,0,0,0,0,0,1,2,11,23,47,85
2020-04-03,10062,0,0,0,0,0,1,2,12,24,49,86
2020-04-04,10156,0,0,0,0,0,1,2,12,25,50,87
2020-04-05,10237,0,0,0,0,0,1,2,13,25,51,91
2020-04-06,10284,0,0,0,0,0,1,2,13,26,52,92
2020-04-07,10331,0,0,0,0,0,1,2,13,26,57,93
2020-04-08,10384,0,0,0,0,0,1,3,13,27,60,96
2020-04-09,10423,0,0,0,0,0,1,3,13,27,60,100
2020-04-10,10450,0,0,0,0,0,1,3,13,28,62,101
2020-04-11,10480,0,0,0,0,0,1,3,14,29,63,101
2020-04-12,10512,0,0,0,0,0,1,3,14,31,63,102
2020-04-13,10537,115,102,0,0,0,1,3,14,32,64,103
2020-04-14,10564,116,106,0,0,0,1,3,14,33,65,106
2020-04-15,10591,118,107,0,0,0,1,3,14,33,68,106
2020-04-16,10613,122,107,0,0,0,1,3,14,33,68,110
2020-04-17,10635,122,108,0,0,0,1,3,14,33,68,111
2020-04-18,10653,124,108,0,0,0,1,3,15,33,68,112
2020-04-19,10661,124,110,0,0,0,2,3,15,34,68,112
2020-04-20,10674,125,111,0,0,0,2,3,15,34,69,113
2020-04-21,10683,125,112,0,0,0,2,3,15,34,70,113
2020-04-22,10694,126,112,0,0,0,2,3,15,34,71,113
2020-04-23,10702,127,113,0,0,0,2,3,15,35,71,114
2020-04-24,10708,127,113,0,0,0,2,3,15,35,71,114
2020-04-25,10718,127,113,0,0,0,2,3,15,35,71,114
2020-04-26,10728,127,115,0,0,0,2,3,15,35,72,115
2020-04-27,10738,127,116,0,0,0,2,3,15,35,72,116
